customer_name,opportunity_id,customer_id,Product,qty,price,Earliest_Year,Latest_Year,cluster_class,cluster_class_name,Web_act1_time_bckt1,Web_act1_time_bckt2,Web_act1_time_bckt3,Web_act1_time_bckt4,Web_act1_time_bckt5,Web_act2_time_bckt1,Web_act2_time_bckt2,Web_act2_time_bckt3,Web_act2_time_bckt4,Web_act2_time_bckt5,Web_act3_time_bckt1,Web_act3_time_bckt2,Web_act3_time_bckt3,Web_act3_time_bckt4,Web_act3_time_bckt5,num_support_req_time_bckt1,num_support_req_time_bckt2,num_support_req_time_bckt3,num_support_req_time_bckt4,num_support_req_time_bckt5,num_pos_chat_time_bckt1,num_pos_chat_time_bckt2,num_pos_chat_time_bckt3,num_pos_chat_time_bckt4,num_pos_chat_time_bckt5,num_neg_chat_time_bckt1,num_neg_chat_time_bckt2,num_neg_chat_time_bckt3,num_neg_chat_time_bckt4,num_neg_chat_time_bckt5,num_pos_email_time_bckt1,num_pos_email_time_bckt2,num_pos_email_time_bckt3,num_pos_email_time_bckt4,num_pos_email_time_bckt5,num_neg_email_time_bckt1,num_neg_email_time_bckt2,num_neg_email_time_bckt3,num_neg_email_time_bckt4,num_neg_email_time_bckt5,num_pos_tweets_time_bckt1,num_pos_tweets_time_bckt2,num_pos_tweets_time_bckt3,num_pos_tweets_time_bckt4,num_pos_tweets_time_bckt5,num_neg_tweets_time_bckt1,num_neg_tweets_time_bckt2,num_neg_tweets_time_bckt3,num_neg_tweets_time_bckt4,num_neg_tweets_time_bckt5,Revenue,num_days_ss1,num_days_ss2,num_days_ss3,num_days_ss4,num_days_ss5,num_days_ss6,current_ss,days_in_curr_ss,opentasks_time_bckt1,opentasks_time_bckt2,opentasks_time_bckt3,opentasks_time_bckt4,opentasks_time_bckt5,num_closed_tsk_time_bckt1,num_closed_tsk_time_bckt2,num_closed_tsk_time_bckt3,num_closed_tsk_time_bckt4,num_closed_tsk_time_bckt5,num_sp_pos_com_time_bckt1,num_sp_pos_com_time_bckt2,num_sp_pos_com_time_bckt3,num_sp_pos_com_time_bckt4,num_sp_pos_com_time_bckt5,num_sp_neg_com_time_bckt1,num_sp_neg_com_time_bckt2,num_sp_neg_com_time_bckt3,num_sp_neg_com_time_bckt4,num_sp_neg_com_time_bckt5,opportunity_value,OverAll_Sum_of_shipped_qty,OverAll_Sum_of_tot_net_amt,Number_of_periods_sold,Total_Periods_of_activity,% of time product sold,pred_run_date,distance_to_centroid,qfi_overall,qfi-web_intra,qfi-hd-intra,qfi-crm-intra,qfi-sh-intra,qfi-sm-intra,qfi-web-inter,qfi-hd-inter,qfi-crm-inter,qfi-sh-inter,qfi-sm-inter
"1 PRIORITY BIOCIDAL, LLC",10001,1,mathstring,17,195,201105,201507,3,SOMEWHAT UNLIKELY,129,154,154,96,238,135,189,189,189,241,28,24,14,14,16,0,1,2,3,3,0,5,1,1,4,1,1,0,1,2,3,3,2,5,0,4,1,2,0,2,0,0,2,3,2,1,3,3,1,2,3315,16,25,21,19,13,0,5,13,1,3,0,1,4,2,0,1,1,5,0,0,0,1,1,2,1,3,2,3,3315,52,10140,43,50,0.86,,,,,,,,,,,,,
2XL CORPORATION,10002,2,openfix,16,295,200601,201310,3,SOMEWHAT UNLIKELY,123,148,148,92,227,124,174,174,133,265,23,27,37,18,49,1,1,0,0,2,0,2,0,4,1,1,2,0,3,1,3,4,0,3,1,0,4,1,1,3,3,4,1,0,1,1,0,1,2,5,4720,18,11,0,0,0,0,2,11,1,1,3,1,0,0,2,2,2,1,2,2,0,1,4,0,3,2,2,0,4720,92,27140,75,93,0.81,,,,,,,,,,,,,
3M COMPANY,10003,3,signtouch,13,395,201104,201304,0,MOST LIKELY,61,73,73,46,113,73,102,102,75,157,44,67,23,19,26,2,1,0,3,1,2,0,1,0,2,0,4,2,0,1,1,1,1,5,0,1,1,0,2,1,2,1,1,0,3,0,1,1,1,3,5135,11,14,24,25,0,0,4,25,3,0,0,2,0,3,3,1,1,3,0,0,2,0,4,3,3,1,2,1,5135,53,20935,7,24,0.29,,,,,,,,,,,,,
3V INC.,10004,4,signtouch,14,395,200601,201111,0,MOST LIKELY,65,78,78,49,119,74,104,104,60,178,15,35,23,20,28,1,1,4,0,3,1,3,1,1,0,3,2,0,0,1,1,1,3,1,3,1,1,1,0,1,1,2,0,1,2,2,2,2,0,2,5530,20,27,26,13,0,0,4,13,0,1,3,3,5,2,3,1,2,2,1,3,3,3,5,3,2,0,3,0,5530,77,30415,50,70,0.71,,,,,,,,,,,,,
"A-DEC, INC.",10005,5,solbam,9,85,200610,201507,3,SOMEWHAT UNLIKELY,118,141,141,88,217,118,165,165,137,242,38,44,50,18,42,1,1,3,1,2,5,1,1,2,2,5,0,3,0,0,0,0,0,4,2,1,0,3,0,1,2,5,2,3,5,2,1,3,0,1,765,13,27,16,0,0,0,3,16,0,0,0,2,5,2,0,3,0,5,3,2,2,0,5,1,2,2,3,4,765,84,7140,106,105,1.01,,,,,,,,,,,,,
ABBOTT LABORATORIES DIAGNOSTICS DIVISION,10006,6,Statip,17,100,200601,201507,3,SOMEWHAT UNLIKELY,87,104,104,65,161,94,132,132,83,220,50,29,15,73,13,1,5,5,1,2,1,5,3,2,1,5,1,0,1,0,3,3,1,2,4,1,1,3,0,0,5,0,0,4,2,3,2,1,1,0,1700,11,21,28,0,0,0,3,28,1,2,0,3,2,3,3,0,2,1,0,3,1,3,1,2,2,3,1,1,1700,51,5100,115,114,1.01,,,,,,,,,,,,,
"ABBOTT LABORATORIES, DIAGNOSTICS DIVISION",10007,7,Voyalight,7,150,201105,201203,3,SOMEWHAT UNLIKELY,126,151,151,95,233,131,183,183,139,281,32,17,60,26,10,0,1,2,2,2,0,3,3,3,5,2,3,0,0,0,5,3,1,2,3,3,2,1,3,2,1,3,1,5,2,1,1,2,1,1,1050,26,20,16,30,26,0,5,26,3,2,1,2,5,0,3,2,2,4,0,1,3,2,2,0,3,0,2,0,1050,96,14400,8,10,0.8,,,,,,,,,,,,,
"ABCANA INDUSTRIES, INC.",10008,8,signtouch,14,395,200808,201507,0,MOST LIKELY,52,63,63,39,96,70,98,98,70,154,23,40,11,61,21,1,1,1,3,1,4,0,0,1,3,3,1,2,2,0,2,0,1,1,5,2,0,4,4,2,0,1,4,1,0,0,0,1,5,0,5530,21,15,27,19,0,0,4,19,1,0,0,3,3,1,1,0,1,4,3,2,2,1,4,2,2,2,3,3,5530,39,15405,82,83,0.99,,,,,,,,,,,,,
ABERCO INC,10009,9,Voyalight,17,150,200806,201104,0,MOST LIKELY,68,81,81,51,126,74,104,104,88,150,50,13,18,47,15,5,3,1,3,0,2,0,1,1,0,1,1,1,1,0,2,5,1,2,1,2,2,0,3,2,1,1,1,5,1,1,0,5,2,1,2550,23,13,0,0,0,0,2,13,2,3,2,1,5,2,3,1,1,3,2,2,2,1,3,1,2,1,2,0,2550,51,7650,31,34,0.91,,,,,,,,,,,,,
"ACQUA CONCEPTS, INC. D/B/A AG WATER CHEMICAL",10010,10,Statip,19,100,200601,201507,0,MOST LIKELY,70,84,84,53,131,83,116,116,88,178,18,46,33,51,22,1,1,2,5,2,0,1,0,0,1,1,2,0,1,1,1,0,2,0,5,2,0,1,2,2,1,2,5,3,1,1,1,0,1,0,1900,30,14,15,20,30,14,6,14,2,3,3,3,5,0,0,3,3,5,3,2,0,3,2,0,3,0,0,0,1900,55,5500,115,114,1.01,,,,,,,,,,,,,
"ACTIVON, INC.",10011,11,mathstring,11,195,200601,201507,0,MOST LIKELY,78,93,93,58,143,95,133,133,87,216,34,13,10,43,50,1,0,2,2,1,1,1,2,1,2,4,5,2,1,1,0,0,4,3,2,1,1,0,1,2,2,0,1,0,2,1,1,2,0,3,2145,18,16,19,17,30,0,5,30,0,2,2,3,3,3,3,1,2,1,2,2,2,1,3,0,3,3,0,0,2145,63,12285,115,114,1.01,,,,,,,,,,,,,
"ADJUVANTS UNLIMITED, INC.",10012,12,zonair,17,125,200707,201507,3,SOMEWHAT UNLIKELY,105,126,126,79,194,109,153,153,126,222,17,35,53,9,15,1,3,2,2,0,0,2,2,1,1,0,4,2,1,0,4,5,2,1,1,0,1,2,2,3,0,2,3,1,2,3,1,3,1,0,2125,13,16,23,14,27,0,5,27,1,1,0,1,2,0,2,1,2,3,3,1,1,2,5,0,1,1,1,2,2125,87,10875,93,96,0.97,,,,,,,,,,,,,
"ADM ALLIANCE NUTRITION, INC.",10013,13,Statip,9,100,201009,201112,0,MOST LIKELY,61,73,73,45,111,67,93,93,92,122,16,20,32,20,9,1,0,2,0,0,1,5,2,1,1,2,2,0,5,4,2,0,1,1,2,3,2,5,3,2,0,4,0,5,1,1,5,1,0,2,900,26,27,0,0,0,0,2,27,3,3,1,1,1,0,3,2,3,4,1,0,0,0,0,2,0,2,0,1,900,36,3600,11,15,0.73,,,,,,,,,,,,,
