customer_name,opportunity_id,customer_id,product,qty,price,earliest_year,latest_year,cluster_class,cluster_class_name,web_act1_time_bckt1,web_act1_time_bckt2,web_act1_time_bckt3,web_act1_time_bckt4,web_act1_time_bckt5,web_act2_time_bckt1,web_act2_time_bckt2,web_act2_time_bckt3,web_act2_time_bckt4,web_act2_time_bckt5,web_act3_time_bckt1,web_act3_time_bckt2,web_act3_time_bckt3,web_act3_time_bckt4,web_act3_time_bckt5,num_support_req_time_bckt1,num_support_req_time_bckt2,num_support_req_time_bckt3,num_support_req_time_bckt4,num_support_req_time_bckt5,num_pos_chat_time_bckt1,num_pos_chat_time_bckt2,num_pos_chat_time_bckt3,num_pos_chat_time_bckt4,num_pos_chat_time_bckt5,num_neg_chat_time_bckt1,num_neg_chat_time_bckt2,num_neg_chat_time_bckt3,num_neg_chat_time_bckt4,num_neg_chat_time_bckt5,num_pos_email_time_bckt1,num_pos_email_time_bckt2,num_pos_email_time_bckt3,num_pos_email_time_bckt4,num_pos_email_time_bckt5,num_neg_email_time_bckt1,num_neg_email_time_bckt2,num_neg_email_time_bckt3,num_neg_email_time_bckt4,num_neg_email_time_bckt5,num_pos_tweets_time_bckt1,num_pos_tweets_time_bckt2,num_pos_tweets_time_bckt3,num_pos_tweets_time_bckt4,num_pos_tweets_time_bckt5,num_neg_tweets_time_bckt1,num_neg_tweets_time_bckt2,num_neg_tweets_time_bckt3,num_neg_tweets_time_bckt4,num_neg_tweets_time_bckt5,revenue,num_days_ss1,num_days_ss2,num_days_ss3,num_days_ss4,num_days_ss5,num_days_ss6,current_ss,days_in_curr_ss,opentasks_time_bckt1,opentasks_time_bckt2,opentasks_time_bckt3,opentasks_time_bckt4,opentasks_time_bckt5,num_closed_tsk_time_bckt1,num_closed_tsk_time_bckt2,num_closed_tsk_time_bckt3,num_closed_tsk_time_bckt4,num_closed_tsk_time_bckt5,num_sp_pos_com_time_bckt1,num_sp_pos_com_time_bckt2,num_sp_pos_com_time_bckt3,num_sp_pos_com_time_bckt4,num_sp_pos_com_time_bckt5,num_sp_neg_com_time_bckt1,num_sp_neg_com_time_bckt2,num_sp_neg_com_time_bckt3,num_sp_neg_com_time_bckt4,num_sp_neg_com_time_bckt5,overall_sum_of_shipped_qty,overall_sum_of_tot_net_amt,number_of_periods_sold,total_periods_of_activity,% of time product sold,opportunity_value
"1 PRIORITY BIOCIDAL, LLC",10001,1,mathstring,17,195,201105,201507,3,SOMEWHAT UNLIKELY,0.862623601,2.682806026,1.92152979,-0.233087401,0.876146866,1.576473751,1.1355191,3.17119922,0.75483143,0.227498528,-0.143987013,-0.734164282,-1.009526055,-1.144957859,-0.814858701,-1.067086238,-0.451032941,0.154746861,1.166343434,1.166990323,-1.203085056,2.322619679,-0.362418893,-0.461244266,1.635920939,0.441345696,0.552190465,1.151189519,0.401500055,-0.525822013,0.90835618,0.780659506,0.281638648,2.492492055,-1.134281807,-1.85657371,0.481623543,-0.383336845,1.223692826,-0.323618986,-1.120032756,-1.103026141,0.153937726,0.939916419,0.138484479,0.372253633,-1.236782575,-0.918670202,0.358805478,-0.320051562,0.279955207,-0.681174891,0.717132162,0.448122326,0.602012061,0.434383858,-0.533809401,0.633635884,-1.122248709,-0.451037004,1.327308694,-1.358181776,-0.430585444,0.791764768,0.546212073,-1.371003925,-0.461781283,-0.481261894,1.502491241,-1.170931835,-1.250100649,-1.155812473,-0.431541618,-0.732550953,-0.353213349,0.516373848,-1.31633249,-0.43164757,-0.185296203,-0.335094617,-0.267581796,-0.069233843,-0.355549262,0.456332007,0.279955207
2XL CORPORATION,10002,2,openfix,16,295,200601,201310,3,SOMEWHAT UNLIKELY,0.69345359,2.439901284,1.724775612,-0.297153917,0.721987253,1.045217219,0.690245969,2.637349576,-0.118929995,0.515599512,-0.54692986,-0.587751657,0.767729746,-0.933070682,1.491832969,-0.337124969,-0.451032941,-1.270039553,-1.063088592,0.399510201,-1.203085056,0.241628465,-1.080233057,1.769315544,-0.513065179,0.441345696,-0.108627632,1.151189519,-1.038265055,0.293370209,0.90835618,1.479288241,-1.108867143,1.018344555,-0.391181803,1.236202707,-1.762537222,0.382587408,0.477503048,-1.042615951,0.883479747,1.704676763,-0.485592177,-1.226838274,-0.555295606,0.372253633,1.121411066,0.512550753,-0.33047873,-2.530137344,0.96225485,-0.327973096,-1.482852181,-1.91841344,-1.146921243,-0.764956113,-0.533809401,-1.505931979,-1.446517349,-0.451037004,-0.407358167,1.421648214,-0.430585444,-1.543541416,-1.176716133,0.37173987,0.432045367,0.432956797,-0.87267666,0.514550327,0.572442665,-1.155812473,-0.431541618,1.055666581,1.507529137,-1.272555211,-0.413452084,-0.43164757,1.536273972,1.389309708,1.41238132,0.871839967,0.913535197,0.292416883,0.96225485
3M COMPANY,10003,3,signtouch,13,395,201104,201304,0,MOST LIKELY,-1.05463653,-0.59640799,-0.734651606,-1.033918852,-0.875666917,-1.417881248,-1.447065063,0.074871281,-1.023897186,-0.780854915,1.145430096,1.364416668,-0.314078133,-0.880098888,-0.115861225,0.392836299,-0.451032941,-1.270039553,1.166343434,-0.367969922,0.240052183,-1.145699012,-0.362418893,-1.204764202,0.203263527,1.166514991,-1.430263828,-0.251093781,1.12138261,0.293370209,-0.419741124,-0.616597964,-0.413614247,2.492492055,-1.134281807,0.463008603,0.481623543,1.148511662,-0.26868673,0.395377979,0.215642246,-0.401100415,-0.485592177,-1.226838274,0.832264564,1.130108638,0.335346519,0.512550753,0.358805478,-1.056746823,1.163788196,-1.56417938,-1.011426965,0.786198864,1.154306789,-0.764956113,-0.533809401,-0.079553404,0.823363133,1.370938563,-1.274691598,-1.358181776,0.449531203,-1.543541416,1.407676176,1.243111767,-0.461781283,-0.481261894,0.31490729,-1.170931835,-1.250100649,0.563605791,-1.350365647,1.055666581,-1.283584591,-1.272555211,0.489428322,-0.43164757,0.962417247,-0.291984509,0.799194782,-1.127941878,-1.122902655,-1.412300407,1.163788196
3V INC.,10004,4,signtouch,14,395,200601,201111,0,MOST LIKELY,-0.941856522,-0.393987372,-0.570689791,-0.985868965,-0.791579856,-1.369585199,-1.387695312,0.146051234,-1.257940425,-0.528766554,-1.191638415,-0.197317992,-0.314078133,-0.827127094,0.02393827,-0.337124969,-0.451032941,1.579533275,-1.063088592,1.166990323,-0.481516437,0.935292203,-0.362418893,-0.461244266,-1.229393885,-1.008992894,-0.108627632,1.151189519,1.12138261,0.293370209,-0.419741124,-0.616597964,0.976891544,-0.455802945,1.095018206,0.463008603,0.481623543,0.382587408,1.223692826,0.395377979,-0.452195255,0.300825311,-1.125122079,-0.504586709,0.138484479,-0.385601373,-0.450718028,-0.203059725,1.048089685,-0.320051562,1.355609092,0.0252287,1.03141564,1.011583222,0.049717334,-0.764956113,-0.533809401,-0.079553404,-1.122248709,-1.362024788,-0.407358167,1.421648214,1.32964785,1.375591314,0.546212073,1.243111767,-0.461781283,0.432956797,-0.278884685,-0.328190754,1.483714323,1.423314923,1.40610644,1.651739092,-1.283584591,-0.378090682,1.392308727,-1.310420113,1.536273972,0.742658086,1.736021273,0.136626053,0.23472258,-0.035413365,1.355609092
"A-DEC, INC.",10005,5,solbam,9,85,200610,201507,3,SOMEWHAT UNLIKELY,0.55247858,2.156512418,1.495229072,-0.361220433,0.581842151,0.755440929,0.42308209,2.317039789,-0.056518465,0.239502736,0.66189868,0.241919881,1.772265633,-0.933070682,1.002534736,-0.337124969,-0.451032941,0.867140068,-0.319944583,0.399510201,2.40475804,-0.452035274,-0.362418893,0.282275671,0.203263527,-2.459331484,1.213008563,-0.95223543,1.12138261,1.112562431,-1.083789777,-1.315226699,-1.108867143,1.755418305,0.351918202,0.463008603,1.229677131,-1.149261098,1.223692826,0.395377979,0.215642246,2.406602488,0.153937726,0.939916419,2.219824735,-0.385601373,0.335346519,-0.918670202,1.048089685,0.416643699,-0.958382224,-1.210977585,1.03141564,-0.115338571,-1.146921243,-0.764956113,-0.533809401,-0.792742691,-0.635845749,-1.362024788,-1.274691598,-1.358181776,0.449531203,1.375591314,0.546212073,-1.371003925,1.325872017,-1.395480585,1.502491241,1.357291409,0.572442665,0.563605791,-1.350365647,1.651739092,0.577157894,-0.378090682,-0.413452084,-1.310420113,-0.759152928,1.044428843,-0.564045876,1.78350522,1.267698302,0.948077379,-0.958382224
ABBOTT LABORATORIES DIAGNOSTICS DIVISION,10006,6,Statip,17,100,200601,201507,3,SOMEWHAT UNLIKELY,-0.32156648,0.658599843,0.281911644,-0.7296029,-0.202970424,-0.403664232,-0.5565188,1.14257057,-0.899074125,-0.024589832,1.628961513,-0.490143241,-0.932254064,1.980377993,-1.024557944,-0.337124969,2.466407979,2.291926482,-0.319944583,0.399510201,-0.481516437,2.322619679,1.073209435,0.282275671,-0.513065179,-2.459331484,0.552190465,1.151189519,0.401500055,1.112562431,0.90835618,0.780659506,-0.413614247,0.281270805,1.83811821,0.463008603,0.481623543,-1.149261098,1.223692826,1.114374943,2.219154749,-1.103026141,-1.125122079,1.662167983,0.138484479,-1.143456378,-0.450718028,0.512550753,0.358805478,1.15333896,-0.504325166,-1.56417938,0.088565207,1.236967581,-1.146921243,-0.764956113,-0.533809401,-0.792742691,1.309766093,-0.451037004,0.459975264,-1.358181776,1.32964785,-0.375888324,1.407676176,1.243111767,-1.355607933,0.432956797,-0.87267666,-1.170931835,1.483714323,-0.296103341,1.40610644,-0.732550953,-0.353213349,-0.378090682,-1.31633249,0.447124973,0.962417247,-0.378204726,-0.76564145,2.048182229,1.53332063,0.948077379,-0.504325166
"ABBOTT LABORATORIES, DIAGNOSTICS DIVISION",10007,7,Voyalight,7,150,201105,201203,3,SOMEWHAT UNLIKELY,0.778038595,2.561353655,1.823152701,-0.24910403,0.806074315,1.383289558,0.957409847,2.957659363,-0.0253127,0.707666835,0.178367264,-1.075793739,2.544985546,-0.50929633,-1.234257187,-1.067086238,-0.451032941,0.154746861,0.423199426,0.399510201,-1.203085056,0.935292203,1.073209435,1.025795607,2.352249646,-0.283823599,-0.76944573,1.151189519,1.12138261,1.112562431,2.236453484,0.780659506,-0.413614247,0.281270805,1.095018206,-1.083379606,-0.266430045,0.382587408,-1.014876508,-0.323618986,-0.452195255,1.002751037,-0.485592177,2.384419548,0.138484479,0.372253633,0.335346519,-0.203059725,0.358805478,0.416643699,-0.819979805,1.084834086,-0.068576532,-0.115338571,1.614552396,1.633723829,-0.533809401,0.633635884,0.985497453,1.370938563,0.459975264,-0.431571779,0.449531203,1.375591314,-1.176716133,1.243111767,0.432045367,0.432956797,0.908699265,-1.170931835,-0.338828992,1.423314923,0.487282411,-0.136478442,1.507529137,-1.272555211,1.392308727,-0.43164757,1.536273972,1.561750141,0.153397196,-1.098533322,-1.536092944,0.259633858,-0.819979805
"ABCANA INDUSTRIES, INC.",10008,8,signtouch,14,395,200808,201507,0,MOST LIKELY,-1.308391547,-1.001249226,-1.062575235,-1.146035255,-1.113913592,-1.562769393,-1.565804564,-0.067488624,-1.101911599,-0.816867538,-0.54692986,0.046703048,-1.241342029,1.344716464,-0.465359963,-0.337124969,-0.451032941,-0.557646346,1.166343434,-0.367969922,1.683189421,-1.145699012,-1.080233057,-0.461244266,0.919592233,-1.008992894,0.552190465,-0.251093781,-0.3183825,1.112562431,0.244307528,-1.315226699,-0.413614247,-0.455802945,2.581218214,-0.310185502,1.229677131,-1.915185352,-1.761066286,-0.323618986,-1.120032756,-0.401100415,1.432997531,-0.504586709,-1.249075692,1.130108638,1.121411066,0.512550753,-2.398331352,1.15333896,1.355609092,0.201829597,-0.854285226,1.124275402,0.602012061,-0.764956113,-0.533809401,-0.079553404,-0.149442788,-0.451037004,-1.274691598,-1.358181776,1.32964785,0.207938222,-0.31525203,-0.499632027,-1.355607933,-0.481261894,0.908699265,1.357291409,0.572442665,0.563605791,-0.431541618,1.055666581,-0.353213349,-0.378090682,-0.413452084,-1.310420113,-0.185296203,-0.895526023,0.252712663,1.077699863,0.618399276,0.882511329,1.355609092
ABERCO INC,10009,9,Voyalight,17,150,200806,201104,0,MOST LIKELY,-0.857271517,-0.272535001,-0.472312703,-0.953835707,-0.693478284,-1.369585199,-1.387695312,0.146051234,-0.821059712,-0.864884368,1.628961513,-1.271010571,-0.70043809,0.603111347,-0.884758449,2.582720104,1.007687519,-0.557646346,1.166343434,-1.135450044,0.240052183,-1.145699012,-0.362418893,-0.461244266,-1.229393885,0.441345696,0.552190465,0.450047869,0.401500055,1.112562431,0.244307528,2.177916976,-0.413614247,0.281270805,-0.391181803,-0.310185502,-0.266430045,1.148511662,-1.014876508,-0.323618986,-0.452195255,-0.401100415,-0.485592177,2.384419548,-0.555295606,0.372253633,1.121411066,-2.349891158,-0.33047873,0.416643699,-0.091546023,0.555031393,-1.168568703,-1.91841344,-1.146921243,-0.764956113,-0.533809401,-1.505931979,-1.122248709,0.459950779,1.327308694,0.495038217,-0.430585444,1.375591314,0.546212073,1.243111767,-0.461781283,-0.481261894,0.31490729,0.514550327,0.572442665,0.563605791,-0.431541618,0.459594069,0.577157894,-0.378090682,0.489428322,-0.43164757,1.536273972,-0.378204726,-0.513646982,-0.422136521,-0.827766735,0.620247131,-0.091546023
"ACQUA CONCEPTS, INC. D/B/A AG WATER CHEMICAL",10010,10,Statip,19,100,200601,201507,0,MOST LIKELY,-0.800881513,-0.15108263,-0.373935614,-0.921802449,-0.623405732,-0.934920764,-1.031476807,0.573130949,-0.821059712,-0.528766554,-0.949872707,0.339528297,0.45864178,0.814998523,-0.395460216,-0.337124969,-0.451032941,0.154746861,2.652631452,0.399510201,-1.203085056,-0.452035274,-1.080233057,-1.204764202,-0.513065179,0.441345696,-0.108627632,1.151189519,0.401500055,0.293370209,-0.419741124,-1.315226699,0.281638648,-1.192876695,2.581218214,-0.310185502,1.229677131,0.382587408,-0.26868673,-0.323618986,-0.452195255,0.300825311,2.072527434,0.939916419,-0.555295606,0.372253633,0.335346519,1.228161231,0.358805478,1.15333896,-0.407200662,1.791237677,-1.011426965,-0.22803075,0.694061183,2.002751513,0.915478059,1.346825171,-0.960114389,0.459950779,1.327308694,1.421648214,1.32964785,1.375591314,-1.176716133,-1.371003925,1.325872017,1.347175488,1.502491241,1.357291409,0.572442665,-1.155812473,1.40610644,-0.136478442,1.507529137,-1.272555211,1.392308727,1.325897516,1.536273972,-0.205764293,-0.726112906,2.048182229,1.53332063,0.948077379,-0.407200662
