FEATURE_ID,FEATURE_NAME,FEATURE_TYPE,FEATURE_SUB_TYPE,DATA_SOURCE_CAT,TIME_BUCKET
1,Web_act1_time_bckt1,ACTIVITY,ACTIVITY_BCKT1,WEB,1
2,Web_act1_time_bckt2,ACTIVITY,ACTIVITY_BCKT1,WEB,2
3,Web_act1_time_bckt3,ACTIVITY,ACTIVITY_BCKT1,WEB,3
4,Web_act1_time_bckt4,ACTIVITY,ACTIVITY_BCKT1,WEB,4
5,Web_act1_time_bckt5,ACTIVITY,ACTIVITY_BCKT1,WEB,5
6,Web_act2_time_bckt1,ACTIVITY,ACTIVITY_BCKT2,WEB,1
7,Web_act2_time_bckt2,ACTIVITY,ACTIVITY_BCKT2,WEB,2
8,Web_act2_time_bckt3,ACTIVITY,ACTIVITY_BCKT2,WEB,3
9,Web_act2_time_bckt4,ACTIVITY,ACTIVITY_BCKT2,WEB,4
10,Web_act2_time_bckt5,ACTIVITY,ACTIVITY_BCKT2,WEB,5
11,Web_act3_time_bckt1,ACTIVITY,ACTIVITY_BCKT3,WEB,1
12,Web_act3_time_bckt2,ACTIVITY,ACTIVITY_BCKT3,WEB,2
13,Web_act3_time_bckt3,ACTIVITY,ACTIVITY_BCKT3,WEB,3
14,Web_act3_time_bckt4,ACTIVITY,ACTIVITY_BCKT3,WEB,4
15,Web_act3_time_bckt5,ACTIVITY,ACTIVITY_BCKT3,WEB,5
16,num_support_req_time_bckt1,SUPPORT,SUPPORT_REQ,HELPDESK,1
17,num_support_req_time_bckt2,SUPPORT,SUPPORT_REQ,HELPDESK,2
18,num_support_req_time_bckt3,SUPPORT,SUPPORT_REQ,HELPDESK,3
19,num_support_req_time_bckt4,SUPPORT,SUPPORT_REQ,HELPDESK,4
20,num_support_req_time_bckt5,SUPPORT,SUPPORT_REQ,HELPDESK,5
21,num_pos_chat_time_bckt1,CHAT,POSITIVE,HELPDESK,1
22,num_pos_chat_time_bckt2,CHAT,POSITIVE,HELPDESK,2
23,num_pos_chat_time_bckt3,CHAT,POSITIVE,HELPDESK,3
24,num_pos_chat_time_bckt4,CHAT,POSITIVE,HELPDESK,4
25,num_pos_chat_time_bckt5,CHAT,POSITIVE,HELPDESK,5
26,num_neg_chat_time_bckt1,CHAT,NEGATIVE,HELPDESK,1
27,num_neg_chat_time_bckt2,CHAT,NEGATIVE,HELPDESK,2
28,num_neg_chat_time_bckt3,CHAT,NEGATIVE,HELPDESK,3
29,num_neg_chat_time_bckt4,CHAT,NEGATIVE,HELPDESK,4
30,num_neg_chat_time_bckt5,CHAT,NEGATIVE,HELPDESK,5
31,opentasks_time_bckt1,TASKS,OPEN,HELPDESK,1
32,opentasks_time_bckt2,TASKS,OPEN,HELPDESK,2
33,opentasks_time_bckt3,TASKS,OPEN,HELPDESK,3
34,opentasks_time_bckt4,TASKS,OPEN,HELPDESK,4
35,opentasks_time_bckt5,TASKS,OPEN,HELPDESK,5
36,num_closed_tsk_time_bckt1,TASKS,CLOSED,HELPDESK,1
