,actionDetails_generationTime,actionDetails_icon,actionDetails_pageId,actionDetails_pageIdAction,actionDetails_pageTitle,actionDetails_serverTimePretty,actionDetails_siteSearchKeyword,actionDetails_timeSpent,actionDetails_timeSpentPretty,actionDetails_timestamp,actionDetails_type,actionDetails_url,actions,browser,browserCode,browserFamily,browserFamilyDescription,browserIcon,browserName,browserVersion,city,continent,continentCode,country,countryCode,countryFlag,daysSinceFirstVisit,daysSinceLastEcommerceOrder,daysSinceLastVisit,deviceBrand,deviceModel,deviceType,deviceTypeIcon,events,firstActionTimestamp,goalConversions,idSite,idVisit,language,languageCode,lastActionDateTime,lastActionTimestamp,latitude,location,longitude,operatingSystem,operatingSystemCode,operatingSystemIcon,operatingSystemName,operatingSystemVersion,plugins,pluginsIcons,pluginsIcons_pluginIcon,pluginsIcons_pluginName,referrerKeyword,referrerKeywordPosition,referrerName,referrerSearchEngineIcon,referrerSearchEngineUrl,referrerType,referrerTypeName,referrerUrl,region,regionCode,resolution,searches,serverDate,serverDatePretty,serverDatePrettyFirstAction,serverTimePretty,serverTimePrettyFirstAction,serverTimestamp,siteCurrency,siteCurrencySymbol,userId,visitConverted,visitConvertedIcon,visitCount,visitDuration,visitDurationPretty,visitEcommerceStatus,visitEcommerceStatusIcon,visitIp,visitLocalHour,visitLocalTime,visitServerHour,visitorId,visitorType,visitorTypeIcon,City,Country,Domain,Isp,Latitude,Longitude,ip
0,0.33s,,3001640,267493,Sure Fit - Stretch Ironworks Separate Seat Slipcovers,"Dec 9, 2015 10:00:49 AM",,,,1449655249,action,http://www.surefit.net/shop/categories/sofa-loveseat-and-chair-slipcovers-stretch-separate-seat/stretch-ironworks-sepseat-cover.cfm?sku=41602&sfafid=1559&KS=73170f09-6105-438e-b186-1b9116eba007,1,Chrome 46.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,46.0,New York,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,42,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449673249,0,3,537023,Language code en-us,en-us,2015-12-09 15:00:49,1449673249,40.738998,"New York, New York, United States",-73.983002,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash, java",,plugins/DevicePlugins/images/plugins/pdf.gif,pdf,,,tpc.googlesyndication.com,,,website,Websites,http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html,New York,NY,1680x1050,0,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:49 AM,10:00:49 AM,1449673249,USD,$,,0,,7,0,0s,none,,38.88.200.202,10,10:00:49,15,77e13617ee71b52e,returning,plugins/Live/images/returningVisitor.gif,San Francisco,United States,cutlergrouplp.com,Cutler Group LP,37.791255950927734,-122.40081024169922,38.88.200.202
1,0.33s,,3001640,267493,Sure Fit - Stretch Ironworks Separate Seat Slipcovers,"Dec 9, 2015 10:00:49 AM",,,,1449655249,action,http://www.surefit.net/shop/categories/sofa-loveseat-and-chair-slipcovers-stretch-separate-seat/stretch-ironworks-sepseat-cover.cfm?sku=41602&sfafid=1559&KS=73170f09-6105-438e-b186-1b9116eba007,1,Chrome 46.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,46.0,New York,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,42,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449673249,0,3,537023,Language code en-us,en-us,2015-12-09 15:00:49,1449673249,40.738998,"New York, New York, United States",-73.983002,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash, java",,plugins/DevicePlugins/images/plugins/flash.gif,flash,,,tpc.googlesyndication.com,,,website,Websites,http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html,New York,NY,1680x1050,0,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:49 AM,10:00:49 AM,1449673249,USD,$,,0,,7,0,0s,none,,38.88.200.202,10,10:00:49,15,77e13617ee71b52e,returning,plugins/Live/images/returningVisitor.gif,San Francisco,United States,cutlergrouplp.com,Cutler Group LP,37.791255950927734,-122.40081024169922,38.88.200.202
2,0.33s,,3001640,267493,Sure Fit - Stretch Ironworks Separate Seat Slipcovers,"Dec 9, 2015 10:00:49 AM",,,,1449655249,action,http://www.surefit.net/shop/categories/sofa-loveseat-and-chair-slipcovers-stretch-separate-seat/stretch-ironworks-sepseat-cover.cfm?sku=41602&sfafid=1559&KS=73170f09-6105-438e-b186-1b9116eba007,1,Chrome 46.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,46.0,New York,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,42,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449673249,0,3,537023,Language code en-us,en-us,2015-12-09 15:00:49,1449673249,40.738998,"New York, New York, United States",-73.983002,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash, java",,plugins/DevicePlugins/images/plugins/java.gif,java,,,tpc.googlesyndication.com,,,website,Websites,http://tpc.googlesyndication.com/safeframe/1-0-2/html/container.html,New York,NY,1680x1050,0,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:49 AM,10:00:49 AM,1449673249,USD,$,,0,,7,0,0s,none,,38.88.200.202,10,10:00:49,15,77e13617ee71b52e,returning,plugins/Live/images/returningVisitor.gif,San Francisco,United States,cutlergrouplp.com,Cutler Group LP,37.791255950927734,-122.40081024169922,38.88.200.202
3,0.96s,,2998303,53,Sure Fit - Category,"Dec 9, 2015 8:36:02 AM",,1,1s,1449650162,action,http://www.surefit.net/category/?c=slipcovers&p=1&furniture_type=Recliner&rank=-units_sold&sale=0,23,Chrome 47.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,47.0,Allentown,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,43,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449668162,0,3,536458,Language code en-us,en-us,2015-12-09 15:00:48,1449673248,40.605999,"Allentown, Pennsylvania, United States",-75.477997,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash",,plugins/DevicePlugins/images/plugins/pdf.gif,pdf,,,,,,direct,Direct Entry,http://www.surefit.net//shop/categories/pet-solutions-non-personalized-pet-throws/silky-touch-recliner-cover.cfm?sku=45425,Pennsylvania,PA,1920x1080,4,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:48 AM,8:36:02 AM,1449673248,USD,$,,0,,122,5087,1 hours 24 min,none,,65.201.171.253,8,08:36:00,15,61e4e40c13dafeae,returning,plugins/Live/images/returningVisitor.gif,Allentown,United States,-,Surefit Inc,40.581600189208984,-75.52758026123047,65.201.171.253
4,0.96s,,2998303,53,Sure Fit - Category,"Dec 9, 2015 8:36:02 AM",,1,1s,1449650162,action,http://www.surefit.net/category/?c=slipcovers&p=1&furniture_type=Recliner&rank=-units_sold&sale=0,23,Chrome 47.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,47.0,Allentown,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,43,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449668162,0,3,536458,Language code en-us,en-us,2015-12-09 15:00:48,1449673248,40.605999,"Allentown, Pennsylvania, United States",-75.477997,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash",,plugins/DevicePlugins/images/plugins/flash.gif,flash,,,,,,direct,Direct Entry,http://www.surefit.net//shop/categories/pet-solutions-non-personalized-pet-throws/silky-touch-recliner-cover.cfm?sku=45425,Pennsylvania,PA,1920x1080,4,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:48 AM,8:36:02 AM,1449673248,USD,$,,0,,122,5087,1 hours 24 min,none,,65.201.171.253,8,08:36:00,15,61e4e40c13dafeae,returning,plugins/Live/images/returningVisitor.gif,Allentown,United States,-,Surefit Inc,40.581600189208984,-75.52758026123047,65.201.171.253
5,0.72s,,2998305,265809,Sure Fit - Deep Pile Velvet Non-Skid Furniture Cover,"Dec 9, 2015 8:36:03 AM",,920,15 min 20s,1449650163,action,http://surefitwww1.inetu.net/shop/categories/pet-solutions-non-personalized-pet-throws/deep-pile-velvet-furniture-cover.cfm?sku=43483,23,Chrome 47.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,47.0,Allentown,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,43,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449668162,0,3,536458,Language code en-us,en-us,2015-12-09 15:00:48,1449673248,40.605999,"Allentown, Pennsylvania, United States",-75.477997,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash",,plugins/DevicePlugins/images/plugins/pdf.gif,pdf,,,,,,direct,Direct Entry,http://www.surefit.net//shop/categories/pet-solutions-non-personalized-pet-throws/silky-touch-recliner-cover.cfm?sku=45425,Pennsylvania,PA,1920x1080,4,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:48 AM,8:36:02 AM,1449673248,USD,$,,0,,122,5087,1 hours 24 min,none,,65.201.171.253,8,08:36:00,15,61e4e40c13dafeae,returning,plugins/Live/images/returningVisitor.gif,Allentown,United States,-,Surefit Inc,40.581600189208984,-75.52758026123047,65.201.171.253
6,0.72s,,2998305,265809,Sure Fit - Deep Pile Velvet Non-Skid Furniture Cover,"Dec 9, 2015 8:36:03 AM",,920,15 min 20s,1449650163,action,http://surefitwww1.inetu.net/shop/categories/pet-solutions-non-personalized-pet-throws/deep-pile-velvet-furniture-cover.cfm?sku=43483,23,Chrome 47.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,47.0,Allentown,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,43,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449668162,0,3,536458,Language code en-us,en-us,2015-12-09 15:00:48,1449673248,40.605999,"Allentown, Pennsylvania, United States",-75.477997,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash",,plugins/DevicePlugins/images/plugins/flash.gif,flash,,,,,,direct,Direct Entry,http://www.surefit.net//shop/categories/pet-solutions-non-personalized-pet-throws/silky-touch-recliner-cover.cfm?sku=45425,Pennsylvania,PA,1920x1080,4,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:48 AM,8:36:02 AM,1449673248,USD,$,,0,,122,5087,1 hours 24 min,none,,65.201.171.253,8,08:36:00,15,61e4e40c13dafeae,returning,plugins/Live/images/returningVisitor.gif,Allentown,United States,-,Surefit Inc,40.581600189208984,-75.52758026123047,65.201.171.253
7,0.64s,,2998832,6,Sure Fit | Slipcovers | Furniture Covers | Pet Covers | Outdoor Covers,"Dec 9, 2015 8:51:23 AM",,294,4 min 54s,1449651083,action,http://www.surefit.net/index.cfm,23,Chrome 47.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,47.0,Allentown,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,43,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449668162,0,3,536458,Language code en-us,en-us,2015-12-09 15:00:48,1449673248,40.605999,"Allentown, Pennsylvania, United States",-75.477997,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash",,plugins/DevicePlugins/images/plugins/pdf.gif,pdf,,,,,,direct,Direct Entry,http://www.surefit.net//shop/categories/pet-solutions-non-personalized-pet-throws/silky-touch-recliner-cover.cfm?sku=45425,Pennsylvania,PA,1920x1080,4,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:48 AM,8:36:02 AM,1449673248,USD,$,,0,,122,5087,1 hours 24 min,none,,65.201.171.253,8,08:36:00,15,61e4e40c13dafeae,returning,plugins/Live/images/returningVisitor.gif,Allentown,United States,-,Surefit Inc,40.581600189208984,-75.52758026123047,65.201.171.253
8,0.64s,,2998832,6,Sure Fit | Slipcovers | Furniture Covers | Pet Covers | Outdoor Covers,"Dec 9, 2015 8:51:23 AM",,294,4 min 54s,1449651083,action,http://www.surefit.net/index.cfm,23,Chrome 47.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,47.0,Allentown,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,43,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449668162,0,3,536458,Language code en-us,en-us,2015-12-09 15:00:48,1449673248,40.605999,"Allentown, Pennsylvania, United States",-75.477997,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash",,plugins/DevicePlugins/images/plugins/flash.gif,flash,,,,,,direct,Direct Entry,http://www.surefit.net//shop/categories/pet-solutions-non-personalized-pet-throws/silky-touch-recliner-cover.cfm?sku=45425,Pennsylvania,PA,1920x1080,4,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:48 AM,8:36:02 AM,1449673248,USD,$,,0,,122,5087,1 hours 24 min,none,,65.201.171.253,8,08:36:00,15,61e4e40c13dafeae,returning,plugins/Live/images/returningVisitor.gif,Allentown,United States,-,Surefit Inc,40.581600189208984,-75.52758026123047,65.201.171.253
9,0.93s,,2999037,6,Sure Fit | Slipcovers | Furniture Covers | Pet Covers | Outdoor Covers,"Dec 9, 2015 8:56:17 AM",,343,5 min 43s,1449651377,action,http://www.surefit.net/index.cfm,23,Chrome 47.0,CH,Blink,"Blink (Chrome, Opera)",plugins/DevicesDetection/images/browsers/CH.gif,Chrome,47.0,Allentown,North America,amn,United States,us,plugins/UserCountry/images/flags/us.png,43,0,0,Unknown,,Desktop,plugins/DevicesDetection/images/screens/normal.gif,0,1449668162,0,3,536458,Language code en-us,en-us,2015-12-09 15:00:48,1449673248,40.605999,"Allentown, Pennsylvania, United States",-75.477997,Windows 7,WIN,plugins/DevicesDetection/images/os/WIN.gif,Windows,7,"pdf, flash",,plugins/DevicePlugins/images/plugins/pdf.gif,pdf,,,,,,direct,Direct Entry,http://www.surefit.net//shop/categories/pet-solutions-non-personalized-pet-throws/silky-touch-recliner-cover.cfm?sku=45425,Pennsylvania,PA,1920x1080,4,2015-12-09,"Wednesday, December 9, 2015","Wednesday, December 9, 2015",10:00:48 AM,8:36:02 AM,1449673248,USD,$,,0,,122,5087,1 hours 24 min,none,,65.201.171.253,8,08:36:00,15,61e4e40c13dafeae,returning,plugins/Live/images/returningVisitor.gif,Allentown,United States,-,Surefit Inc,40.581600189208984,-75.52758026123047,65.201.171.253
